CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas,
Austin,Texas State Capitol,,TX,US,2020-09-05,,,,,,,Refuse Fascism ATX,"for resignation of President Trump, against fascism, against racism, against police violence, for LGBTQ rights, for women's rights, for immigrants' rights, for First Amendment rights",1,protest,,,,,1,1,https://www.facebook.com/events/325738391950007/,,,Trump/Pence Out Now,,
Austin,Lake Travis,,TX,US,2020-09-05,,,,,,,general protesters,for President Trump,2,boat parade,,,,,0,1,https://cbsaustin.com/news/local/trump-boat-parade-planned-for-lake-travis-on-saturday,https://www.facebook.com/events/3308504859200726/,https://cbsaustin.com/news/local/multiple-boats-in-distress-sinking-at-trump-boat-parade-on-lake-travis,,,
Barrington,283 County Rd,,RI,US,2020-09-05,more than 100,100,,100,,,general protesters,"against racism, against police violence",1,march,,,,,1,1,https://www.facebook.com/events/641379543172741/,https://www.providencejournal.com/news/20200905/black-lives-matter-supporters-hold-march-rally-for-racial-justice-in-barrington,,,,
Bedminster,,,NJ,US,2020-09-05,,,,,,,Somerset County for Trump,"for police, for President Trump, Back the Blue",2,rally,,,,,1,1,https://www.facebook.com/events/315701179473376/,,,,,
Bettendorf,Bettendorf Police Station,,IA,US,2020-09-05,count: FB,79,,79,,,general protesters,"against racism, against police brutality",1,protest,,,,,1,1,https://www.facebook.com/events/685688952025620/,,,,,
Boston,Copley Square,,MA,US,2020-09-05,count: FB,118,,118,,,Civic Youth Summit,"against racism, for defunding police",1,protest,,,,,1,1,https://www.facebook.com/events/2266232210190299/,,,,,
Boston,Copley Square,,MA,US,2020-09-05,,,,,,,Refuse Fascism Boston,"for resignation of President Trump, against fascism, against racism, against police violence",1,protest,,,,,0,1,https://www.facebook.com/events/220447922601168/,,,Trump/Pence Out Now,,
Buford,Lake Lanier,,GA,US,2020-09-05,estimated between 3000 and 3100; 3000 to 4000,3000,,4000,,,general protesters,for President Trump,2,boat parade,0,0,0,0,1,1,https://www.ajc.com/news/lake-lanier-parade-draws-thousands-of-boaters-trump-fans/ZHX6BZR3VNFQ3EBYHGRAUQ3ESM/,,,Great American Boat Parade,,
Burlington,Battery Park,,VT,US,2020-09-05,,,,,,,general protesters,"against racism, against police violence",1,encampment; march,,,,,1,1,https://www.wcax.com/2020/09/09/burlington-city-council-holds-emergency-meeting-to-hear-from-protesters/,,,,,
Charlotte,Marshall Park,,NC,US,2020-09-05,,,,,,,general protesters,"for resignation of President Trump, against fascism, against racism, against police violence, for LGBTQ rights, for women's rights, for immigrants' rights, for First Amendment rights",1,protest,,,,,1,1,https://www.facebook.com/events/1182548732144134/,,,Trump/Pence Out Now,,
