CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro2-Anti1,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
Tacoma,,,WA,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Talent,,,OR,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Tallahassee,,,FL,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Taos,,,NM,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Taunton,,,MA,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Temple,,,NH,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
The Dalles,,,OR,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Thousand Oaks,,,CA,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Titusville,,,FL,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Tonasket,,,WA,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Topanga,,,CA,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Torrance,,,CA,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Towson,,,MD,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Tracy,,,CA,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Traverse City,,,MI,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Traverse City,,,MI,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Troy,,,MI,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
Tualatin,,,OR,US,2020-08-22,,,,,,,MoveOn,"save the Post Office from Donald Trump and declare that Postmaster General Louis DeJoy must resign, for protection of voting rights",1,demonstration,,,,,,1,https://act.moveon.org/event/save-the-post-office-attend/,,,Save the Post Office Saturday,
