CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Coos Bay,Downtown,Coos,OR,US,2020-06-07,1,1,,1,,,general protesters,against BLM protests,0,counter-protest,1,0,0,0,1,1,https://www.kezi.com/content/news/DA-addresses-arrest-of-man-accused-of-threatening-protesters-571109031.html,,,,,,,,,,,,,,,,,,,,,,
Denver,east Capitol steps,Denver,CO,US,2020-06-07,hundreds,200,,200,,,general protesters,against school immunization bill,0,protest,0,0,0,0,1,1,https://gazette.com/premium/colorado-immunization-bill-advances-amid-anti-vaccination-protest/article_c7fe783a-b514-5f2d-93aa-6d58bc797496.html,https://www.coloradopolitics.com/legislature/in-rare-sunday-session-immunization-bill-advances-amid-anti-vaccination-protest/article_ce3f78da-a927-11ea-addc-c34bb9265c90.html,,,,,,,,,,,,,,,,,,,,,
Gadsden,Emma Sansom Monument,Etowah,AL,US,2020-06-07,count pic: 12-20,12,,20,,,general protesters,opposing BLM ,2,counter-protest,0,0,0,0,1,1,https://www.gadsdentimes.com/photogallery/DA/20200607/PHOTOGALLERY/608009999/PH/1,,,,0,,,,,,,,,,,,,,,,,,
Milwaukee,,Milwaukee,WI,US,2020-06-07,1,1,,1,,,general protesters,against BLM protests,0,counter-protest,1,0,0,0,1,1,https://www.fox5dc.com/news/woman-arrested-for-spitting-on-juvenile-protester-during-anti-racism-demonstration-in-milwaukee,,,,,,,,,,,,,,,,,,,,,,
Perryville,North Jackson St,Perry,MO,US,2020-06-07,more than a dozen,24,,24,,,general protesters,against BLM protests,0,counter-protest,0,0,0,0,0,1,https://www.semissourian.com/gallery/37064,https://www.semissourian.com/story/2815284.html,,,,,,,,,,,,,,,,,,,,,
Reno,Plaza near Mill and Second Streets,Washoe,NV,US,2020-06-07,dozens,24,,24,,,general protesters,against BLM protests,2,counter-protest,0,0,0,0,1,1,https://www.rgj.com/story/news/2020/06/07/reno-george-floyd-black-lives-matter-vigil-peace-downtown-city-hall/3171482001/,,,,,,,,,,,,,,,,,,,,,,
Spokane,downtown,Spokane,WA,US,2020-06-07,count vid,2,,2,,,general protesters,against BLM protests; protecting businesses,2,counter-protest,0,0,0,0,1,1,https://www.khq.com/news/armed-citizens-arriving-in-downtown-spokane-following-protest/video_0f2495c2-a925-11ea-8b83-57562f2091a2.html,,,,,,,,,,,,,,,,,,,,,,
Troy,Troy Police Department Headquarters; Riverfront Park,Rensselear,NY,US,2020-06-07,NA,8,,8,,,militia members,support police; anti protestors,1,counterprotest,0,0,0,0,1,1,https://www.nny360.com/news/jeffersoncounty/more-details-surface-after-fort-drum-soldier-arrested-at-blm-rally/article_737a928b-5c79-5993-82f1-6a9e3e954a65.html,,,,,https://www.timesunion.com/news/article/Churchill-A-proud-day-for-Troy-but-what-about-15325107.php#photo-19517586,,,,,,,,,,,,,,,,,
Elko,intersection of Idaho St and 6th St; outside County Courthouse,Elko,NV,US,2020-06-08,1,1,,1,,,general protesters,against BLM protests,2,counter-protest,0,0,0,0,0,1,https://elkodaily.com/news/local/police-seek-witnesses-in-firearm-incident-at-rally/article_94649bfe-3bfc-5e0e-a503-f4bfc01f94ca.html,,,,,,,,,,,,,,,,,,,,,,
Franklinville,,Gloucester,NJ,US,2020-06-08,2,2,,2,,,All Lives Matter protesters,against BLM protests,2,counter-protest,0,0,0,0,0,1,https://www.albanyherald.com/news/world_nation/all-lives-matter-protesters-re-enacted-george-floyds-death-as-a-black-lives-matter-march/article_bced2534-de82-5d01-b443-1fd3bcc38bec.html,,,,,,,,,,,,,,,,,,,,,,
Harrisburg,Capitol,,PA,US,2020-06-08,roughly 100,100,,100,,,general protesters,for second amendment rights; pro-gun rights,2,rally,0,0,0,0,1,1,https://www.pennlive.com/news/2020/06/despite-2nd-amendment-rallys-postponement-100-plus-supporters-show-up.html,,,,,,,,,,,,,,,,,,,,,,
Jersey City,The Beacon,,NJ,US,2020-06-08,around a dozen,12,,12,,,SEIU,collective bargaining; against layoffs,0,protest,0,0,0,0,1,1,https://www.nj.com/hudson/2020/06/union-workers-protest-over-what-they-say-is-wrongful-termination-by-contractor.html,,,,,,,,,,,,,,,,,,,,,,
Kansas City,Gabriel Tower,,MO,US,2020-06-08,,,,,,,Tower residents,against building conditions,0,protest,0,0,0,0,1,1,https://www.kctv5.com/news/local_news/kc-apartment-building-tenants-protest-lack-of-ac-as-temperatures-soar/article_9d87e686-a9cd-11ea-aa8b-8b941ed9629f.html,,,,,,,,,,,,,,,,,,,,,,
Kremmling ,corner of Highway 9 and 40,Grand,CO,US,2020-06-08,count pic,7,,7,,,general protesters,against BLM protests; supporting President Trump,2,counter-protest,0,0,0,0,1,1,https://grandgazette.net/a-black-lives-matter-and-a-trump-2020-demonstration-occurred-on-opposite-corners-of-highway-9-and-40-today-in-kremmling-colorado/,,,,,,,,,,,,,,,,,,,,,,
Pueblo,,Pueblo,CO,US,2020-06-08,,,,,,,family of Jesse Cedillo,protest police shooting,1,protest,0,0,0,0,1,1,https://www.koaa.com/news/covering-colorado/justice-for-jesse-march-calls-for-accountability-in-officer-involved-shooting,,,,,,,,,,,,,,,,,,,,,,
Seattle,11th and Pine,King,WA,US,2020-06-08,1,1,,1,,,general protesters,opposing BLM protest,0,counter-protest,1,1,0,0,1,1,https://www.wavy.com/news/national/person-shot-after-man-drove-a-vehicle-into-protesters-seattle-police-say/,,,,,,,,,,,,,,,,,,,,,,
Chicago,,Cook,IL,US,2020-06-09,1,1,,1,,,police officer,officer flipped off protesters ,0,protest,0,0,0,0,1,1,https://www.wfla.com/news/chicago-officer-stripped-of-police-powers-after-captured-flipping-off-protesters/,,,,,,,,,,,,,,,,,,,,,,
Florence,Highway 100 & 126,Florence,OR,US,2020-06-09,about 50,50,,50,,,police supporters,supporting police,0,rally,0,0,0,0,1,1,https://thesiuslawnews.com/article/community-members-rally-in-support-of-law-enforcement,,,,0,,,,,,,,,,,,,,,,,,
Logan,,Cache,UT,US,2020-06-09,hundreds,200,,200,,,general protesters,against COVID19 virus outbreak at meatpacking plant,0,protest,0,0,0,0,1,1,https://www.heraldextra.com/news/state-and-regional/workers-march-after-virus-outbreak-at-utah-meatpacking-plant/article_87c0126c-fe0e-542e-b4ef-41c282db6fa7.html,,,,,,,,,,,,,,,,,,,,,,
