CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,,,,,,,,,,,,,,,,
Louisville,eastbound on River Road,,KY,US,2020-06-24,roughly 100,100,,100,,,general protestors,unclear; possibly related to BLM movement,0,car caravan,0,0,0,0,1,1,https://www.wdrb.com/news/police-say-protesters-in-100-vehicle-caravan-disrupted-traffic-in-prospect-wednesday-night/article_2eec04a4-b6f8-11ea-ba92-f38324819200.html,,,100 vehicles at caravan; could be more protestors inside vehicles,0,,,,,,,,,,,,,,,,,,
Orange,UC Irvine Medical Center; Corner of Chapman Avenue and The City Drive,,CA,US,2020-06-24,about a dozen,12,,12,,,"University of California employees; The Federation of State, County & Municipal Employees, Local 3299","Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,https://www.ocregister.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,,,0,,,,,,,,,,,,,,,,,,
Portland,Portland’s Gabriel Park near Southwest 37th and Vermont,,OR,US,2020-06-24,count vid; 31,31,,31,,,students and parents,Let Them Play; allow student athletes to play sports as county enters phase 2 ,,,0,0,0,0,1,1,https://www.kptv.com/news/let-them-play-group-holds-rally-in-sw-portland-park/article_38ee395e-b6a8-11ea-abc7-a383b645256a.html,,,,0,,,,,,,,,,,,,,,,,,
Sacramento,UC Davis Medical Center,,CA,US,2020-06-24,,,,,,,"University of California employees; The Federation of State, County & Municipal Employees, Local 3299","Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,,,,,,,,,,,,,,,,,,,,,,
San Diego,UC San Diego Medical Center,,CA,US,2020-06-24,,,,,,,"University of California employees; The Federation of State, County & Municipal Employees, Local 3299","Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,,,,,,,,,,,,,,,,,,,,,,
San Diego,Jacobs Medical Center at UC San Diego Health,,CA,US,2020-06-24,,,,,,,"University of California employees; The Federation of State, County & Municipal Employees, Local 3299","Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,,,,,,,,,,,,,,,,,,,,,,
San Francisco,Outside Uber CEO Dara Khosrowshahi's house; car caravan through Marina district,,CA,US,2020-06-24,around 50 cars,50,,50,,,Uber drivers; Gig Workers Rising,protesters demanded labor protections and opposed a ballot measure that would force them to remain independent contractors; calling for improved coronavirus safety measures,0,protest,0,0,0,0,1,1,https://www.ktvu.com/news/uber-drivers-hold-protest-outside-ceos-home,https://www.sfchronicle.com/business/article/Uber-drivers-protest-coronavirus-safety-program-15364314.php,,,,,,,,,,,,,,,,,,,,,
San Francisco,UC San Francisco Helen Diller Medical Center,,CA,US,2020-06-24,,,,,,,"University of California employees; The Federation of State, County & Municipal Employees, Local 3299","Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,,,,,,,,,,,,,,,,,,,,,,
Santa Monica,UCLA Medical Center Santa Monica,,CA,US,2020-06-24,,,,,,,"University of California employees; The Federation of State, County & Municipal Employees, Local 3299","Protest the University of California's 10-week layoff of up to 3,000 low wage workers",0,rally,0,0,0,0,0,0,https://www.sbsun.com/2020/06/24/uc-workers-protest-hundreds-of-low-wage-dining-worker-layoffs/,,,,,,,,,,,,,,,,,,,,,,
Scottsdale,City Hall,,AZ,US,2020-06-24,a few people,5,,5,,,counter protesters,in support of Scottsdale's mandatory mask policy,0,protest,0,0,0,0,1,1,https://www.azfamily.com/news/scottsdale-councilman-leads-hundreds-in-unmask-us-rally-at-city-hall/article_0a2435b6-b643-11ea-b3e2-939807de0667.html,https://www.12news.com/article/news/local/valley/anti-mask-rally-to-protest-mask-mandate-held-in-scottsdale/75-94cd29b2-9630-457d-8116-a6a6d32af281,,,,,,,,,,,,,,,,,,,,,
Scottsdale,City Hall,,AZ,US,2020-06-24,over 200,200,,200,,,general protesters,protest against madatory mask wearing,0,protest,0,0,0,0,1,1,https://www.fox10phoenix.com/news/arizona-gov-ducey-criticizes-scottsdale-councilman-over-i-cant-breathe-comment-during-anti-mask-protest,https://www.azfamily.com/news/scottsdale-councilman-leads-hundreds-in-unmask-us-rally-at-city-hall/article_0a2435b6-b643-11ea-b3e2-939807de0667.html,https://www.12news.com/article/news/local/valley/anti-mask-rally-to-protest-mask-mandate-held-in-scottsdale/75-94cd29b2-9630-457d-8116-a6a6d32af281,,,,,,,,,,,,,,,,,,,,
Southampton,Stony Brook Southampton Hospital,,NY,US,2020-06-24,,,,,,,nurses and hospital staffers,calls for hazard pay for working during the COVID-19 pandemic,0,rally,0,0,0,0,0,0,https://www.newsday.com/long-island/nurses-rally-pay-stony-brook-1.46081927,,,,,,,,,,,,,,,,,,,,,,
Stony Brook,Stony Brook Eastern Long Island Hospital,,NY,US,2020-06-24,,,,,,,nurses and hospital staffers,calls for hazard pay for working during the COVID-19 pandemic,0,rally,0,0,0,0,0,0,https://www.newsday.com/long-island/nurses-rally-pay-stony-brook-1.46081927,,,,,,,,,,,,,,,,,,,,,,
Sweet Home,in front of the Sweet Home Police Department,,OR,US,2020-06-24,200 to 300,200,,300,,,general protestors,"Back the Blue, support police",0,rally,0,0,0,0,1,1,https://democratherald.com/news/local/sweet-home-rally-shows-support-for-police-officers/article_92472063-e228-55aa-aae3-dda91785a0a4.html,,,,0,,,,,,,,,,,,,,,,,,
Watertown,in front of City Hall,,NY,US,2020-06-24,about 150,150,,150,,,general protestors,LGBTQ supporters against man who removed LGBTQ flag,0,protest; demonstration,1,0,0,0,1,1,https://www.nny360.com/news/government/150-protest-in-support-of-lgbtq-community-local-man-arrested-for-tampering-with-flag/article_e7ace11a-bf72-5f4d-a1fd-e6017e248897.html,,,,0,,,,,,,,,,,,,,,,,,
Darien,,,CT,US,2020-06-25,,,,,,,fast-food employees,workplace mistreatment amidst Covid,0,protest,,,,,1,1,https://www.wtnh.com/news/connecticut/fairfield/mcdonalds-taco-bell-employees-to-call-attention-to-workplace-mistreatment-with-protest/,,,McDonald's and Taco Bell specifically mentioned,0,,,,,,,,,,,,,,,,,,
Derry,near Derry police station on Folsom Road,,NH,US,2020-06-25,dozens,24,,24,,,Rockingham 6 Conservatives,police appreciation,0,rally,0,0,0,0,1,1,https://www.derrynews.com/news/derry-rallies-to-support-police/article_23e8d12c-58e5-51b1-b91e-cc99585928a8.html,,,,0,,,,,,,,,,,,,,,,,,
Fairfax,Spahr Center,,CA,US,2020-06-25,,,,,,,general protestors,LGBT supporters; in support of transgender teenager who was verbally abused,0,rally,0,0,0,0,1,1,https://www.marinij.com/2020/06/25/marins-lgbtq-community-rallies-after-verbal-attack-on-transgender-teen/,,,,0,,,,,,,,,,,,,,,,,,
Hartford,in front of the Department of Health ,,CT,US,2020-06-25,,,,,,,Nursing home workers,calling for resignation of Barbara Cass (who protesters claim failed to protect nursing home residents amidst Covid),0,protest,0,0,0,0,1,1,https://www.fox61.com/article/news/health/coronavirus/nursing-home-workers-call-for-the-resignation-of-barbara-cass-from-department-of-health/520-5f24cec0-063d-4cd1-a058-cf829ad6e6ef,,,,0,,,,,,,,,,,,,,,,,,
Henderson,Henderson County School Board Meeting,,KY,US,2020-06-25,about 40,40,,40,,,student athletes and their parents,"""asking for a more immediate return to sports practices much like surrounding counties""",0,protest,0,0,0,0,1,1,https://www.thegleaner.com/story/news/2020/06/25/athletes-protest-school-board-meeting-restricted-practices-resume-july-13/3261514001/,,,,,,,,,,,,,,,,,,,,,,
Hyrum,outside of the west entrance to JBS meatpacking plant,,UT,US,2020-06-25,fifteen people,15,,15,,,animal advocates,pro-vegan; against plant's alleged human and animal cruelty,0,protest,0,0,0,0,1,1,https://www.hjnews.com/news/local/animal-advocates-protest-jbs-call-on-plant-to-protect-workers-switch-to-meat-alternatives/article_b46b6041-36f3-506a-a7a4-62c046f73dfc.html,,,,0,,,,,,,,,,,,,,,,,,
Kansas City,on the steps of Police Headquarters,,MO,US,2020-06-25,,,,,,,police supporters,showing support for local police ,0,rally,0,0,0,0,1,1,https://fox4kc.com/news/were-still-behind-them-group-rallies-on-steps-of-kcpd-headquarters-to-show-support/,,,,0,,,,,,,,,,,,,,,,,,
Lancaster,Lancaster recreation center,,PA,US,2020-06-25,,,,,,,pro-Trump protestors,re-elect President Trump,2,protest,0,0,0,0,1,1,https://lancasteronline.com/news/local/bidens-visit-to-lancaster-who-he-met-with-and-the-dual-protesters-outside/article_8727129a-b72e-11ea-9df4-471ad5013305.html,,,,0,,,,,,,,,,,,,,,,,,
Lihu'e ,Historic County Building on Rice Street,,HI,US,2020-06-25,about 15,15,,15,,,members of the houseless community residing at Lydgate Camp Park,"""asking for understanding of their lifestyle and a chance to explain their stiuation""; raising awareness about the houseless community",0,protest,0,0,0,0,1,1,https://www.thegardenisland.com/2020/06/26/hawaii-news/houseless-rally-on-rice-street/,,,,,,,,,,,,,,,,,,,,,,
Nashville,Tennessee governor's Executive Residence,,TN,US,2020-06-25,some 200 cars,200,,200,,,Tennessee Advocates for Planned Parenthood; Planned Parenthood; general protestors,protest heartbeat bill passed on June 19,0,car caravan,0,0,0,0,1,1,https://www.theleafchronicle.com/story/news/local/2020/06/26/heartbeat-bill-abortion-protest-planned-parenthood-governor-bill-lee/3260023001/,https://www.jacksonsun.com/story/news/local/2020/06/26/heartbeat-bill-abortion-protest-planned-parenthood-governor-bill-lee/3260023001/,https://www.tennessean.com/story/news/local/2020/06/26/heartbeat-bill-abortion-protest-planned-parenthood-governor-bill-lee/3260023001/,,,,,,,,,,,,,,,,,,,,
Penfield,outside the Penfield Central School District administration building on Atlantic Avenue ,,NY,US,2020-06-25,dozens,24,,24,,,general protesters,open schools; educational freedom,0,rally,0,0,0,0,1,1,https://www.democratandchronicle.com/picture-gallery/news/2020/06/25/roc-educational-freedom-rally-held-penfield/3260580001/,,,,0,,,,,,,,,,,,,,,,,,
Port Wentworth,in front of Port Wentworth’s City Hall,,GA,US,2020-06-25,,,,,,,general protesters,build businesses not warehouses,0,protest,0,0,0,0,1,1,https://www.wsav.com/news/local-news/georgia-news/we-dont-want-warehouses-port-wentworth-community-members-stand-against-zoning-request/,,,,0,,,,,,,,,,,,,,,,,,
Salt Lake City,State Capitol,,UT,US,2020-06-25,approximately 100,100,,100,,,general protesters,protesting mandatory mask requirements,0,protest,0,0,0,0,1,1,https://www.abc4.com/news/local-news/group-gathers-at-capitol-to-protest-mask-mandates/,https://www.fox13now.com/news/coronavirus/local-coronavirus-news/protesters-rally-against-covid-19-restrictions-at-utah-state-capitol,,,,,,,,,,,,,,,,,,,,,
South Bend,,,IN,US,2020-06-25,about 50 (image),50,,50,,,"advocates for immigration reform; Cosecha Movement, Indiana Undocuented Youth Alliance, La Casa De Amistad","suspend immigration law enforcement, provide access to dirver's licenses, professional certificates, and in-state college tuition ",1,protest,0,0,0,0,1,1,https://indianapublicmedia.org/news/advocates-for-undocumented-hoosiers-call-on-lawmakers-for-reform.php,,,,,,,,,,,,,,,,,,,,,,
Spokane,Spokane Regional Health District building; City Hall; Washington State University-Spokane campus,,WA,US,2020-06-25,,,,,,,general protestors,against mandatory mask policy,2,rally,0,0,0,0,1,1,https://www.krem.com/article/news/health/coronavirus/spokane-protest-face-mask-washington-inslee-coronavirus/293-6a66dad0-ee8b-4692-8e33-01fa533efa6b,https://www.kxly.com/group-gathers-in-downtown-spokane-to-protest-mask-mandate/,,,0,,,,,,,,,,,,,,,,,,
Van Wert,outside the county courthouse,,OH,US,2020-06-25,dozens,24,,24,,,Allen County and Van Wert County human societies; Deb's Dogs; animal rights protesters,animal rights,0,protest,0,0,0,0,1,1,https://www.limaohio.com/news/416081/target-of-animal-rights-protest-in-van-wert-remains-jailed,https://timesbulletin.com/Content/Default/Homepage-Rotator/Article/Animal-rights-protesters-gather-at-Courthouse/-3/1168/224624,,,,,,,,,,,,,,,,,,,,,
Webster,outside the office of the Superintendent of the Penfield Central School District,,NY,US,2020-06-25,count pic; 37,37,,37,,,parents of students in the Penfield Central School District,having a voice in the decisionmaking process of reopening schools,0,rally,0,0,0,0,1,1,https://www.wxxinews.org/post/parents-rally-voice-reopening-plans-schools,,,,0,,,,,,,,,,,,,,,,,,
Woodburn,,,OR,US,2020-06-25,,,,,,,senior citizens,protested Marion County's decision to isolate people with COVID-19 at a Super 8 motel in the city,0,protest,0,0,0,0,1,1,https://www.kptv.com/news/senior-citizens-protest-use-of-motel-in-woodburn-to-isolate-people-with-covid-19/article_004be3f6-b754-11ea-9176-c370da0be4ec.html,,,,,,,,,,,,,,,,,,,,,,
Adelanto,Adelanto ICE Processing Center,,CA,US,2020-06-26,more than 150,150,,150,,,detainees,protesting ongoing lockdowns at the Adelanto ICE Processing Facility,0,protest,0,1,0,0,1,1,https://www.latimes.com/california/story/2020-06-26/immigrants-detained-at-adelanto-staged-a-peaceful-protest-guards-in-riot-gear-pepper-sprayed-them,,,,,,,,,,,,,,,,,,,,,,
Athens,City Hall to University of Georgia Arch,,GA,US,2020-06-26,,,,,,,Athens Anti-Discrimination Movement ,antiracism; anti-police brutality,1,rally,0,0,0,0,1,1,https://www.onlineathens.com/photogallery/GA/20200626/PHOTOGALLERY/626009999/PH/1,,,,,,,,,,,,,,,,,,,,,,
Boulder,Community Food Share,,CO,US,2020-06-26,,,,,,,Community Food Share,calling for donations to provide food for families in need,0,rally,0,0,0,0,1,1,https://www.broomfieldenterprise.com/2020/06/26/boulder-area-businesses-rally-behind-community-food-share-amid-pandemic/,,,,,,,,,,,,,,,,,,,,,,
Corpus Christi,Corupus Christi Medican Center-Doctor's Regional,,TX,US,2020-06-26,,,,,,,Nurses and health care employees,"calls for more PPE and funding for patient care; ""Patients over Profits"" ",0,protest,0,0,0,0,1,1,https://www.caller.com/picture-gallery/news/local/2020/06/26/healthcare-workers-protest-more-ppe-funding-patient-care/3265571001/,https://www.caller.com/story/news/local/2020/06/26/corpus-christi-hospital-workers-push-hca-healthcare-more-ppe/3259446001/,,,,,,,,,,,,,,,,,,,,,
Denver,Denver Union Station,,CO,US,2020-06-26,,,,,,,union representing Regional Transportation District operators,"""educate riders about the potential hazards of front-door bordering, which is scheduled to resume on July 1""",0,rally,,,,,0,0,https://www.coloradopolitics.com/denver/rtd-union-holds-rallies-in-advance-of-front-door-boarding-resumption/article_e13adc70-b7b1-11ea-b255-5b9fd76bdd33.html,,,,,,,,,,,,,,,,,,,,,,
Denver,Central Park Station,,CO,US,2020-06-26,,,,,,,union representing Regional Transportation District operators,"""educate riders about the potential hazards of front-door bordering, which is scheduled to resume on July 1""",0,rally,,,,,0,0,https://www.coloradopolitics.com/denver/rtd-union-holds-rallies-in-advance-of-front-door-boarding-resumption/article_e13adc70-b7b1-11ea-b255-5b9fd76bdd33.html,,,,,,,,,,,,,,,,,,,,,,
Grass Valley,Sutton Way and Brunswick Road intersection,,CA,US,2020-06-26,,,,,,,general protesters,support law enforcement; Back the Blue,0,rally,,,,,1,1,https://www.theunion.com/news/back-the-blue-rallies-show-law-enforcement-support/,,,,,,,,,,,,,,,,,,,,,,
Hartford,Connecticut State Capitol to Hartford City Hall,,CT,US,2020-06-26,roughly 100,100,,100,,,general protesters,"""asked the public to educate themselves and fight discrimination against LGBTQ and people of color""",0,march; protest,0,0,0,0,1,1,https://ctmirror.org/2020/06/26/its-an-emotional-experience-scenes-from-a-pride-protest/,,,,,,,,,,,,,,,,,,,,,,
Killeen,Fort Hood St. and Rancier Rd. ,,TX,US,2020-06-26,,,,,,,general protesters,in support of Vanessa Guillen's case; calling for answers about Vanessa's disappearance ,1,protest,0,0,0,0,1,1,https://www.kens5.com/article/news/military-matters/protest-set-in-killeen-to-continue-to-call-for-answers-in-vanessa-guillens-disappearance/500-88ae14b2-f6db-482a-9ac2-c61134fe3fb0,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Heisey's Diner,,PA,US,2020-06-26,over a hundred,100,,100,,,Lebanon County residents,in support for Heisey's Diner reopening; in protest of state's decision to keep Lebanon County in yellow phase of reopening plan,0,protest,0,0,0,0,1,1,https://www.ldnews.com/story/news/2020/06/26/coronavirus-residents-politicians-rally-reopened-lebanon-county-pa-diner-heiseys-green-phase/3263914001/,,,,,,,,,,,,,,,,,,,,,,
Morgan Hill,Galvan Park,,CA,US,2020-06-26,hundreds,200,,200,,,general protestors,anti ICE; support immigrant children,1,march,0,0,0,0,1,1,https://www.instagram.com/p/CBwSrujBVN4/,"https://www.freethechildrenus.org/bulletins/2020/7/1/protesters-take-over-morgan-hill-streets#:~:text=%E2%80%98ABOLISH%20ICE%E2%80%99%20Demonstrators%20crowded%20Monterey%20Road%20as%20they,Friday%20evening%20to%20protest%20against%20U.S.%20immigration%20policies.",,,,,,,,,,,,,,,,,,,,,
Raleigh,downtown Raleigh; outside Legislative Building,,NC,US,2020-06-26,nearly 100; just under 100,50,,100,,,ReopenNC,demonstrators called for the state to reopen; against the mask requirement,0,protest,0,0,0,0,1,1,https://www.islandpacket.com/news/state/north-carolina/article243815872.html,https://myfox8.com/news/reopen-nc-holds-rally-against-mask-mandate/,https://www.newsobserver.com/news/coronavirus/article243815872.html,https://www.heraldsun.com/news/coronavirus/article243815872.html,,,,,,,,,,,,,,,,,,,
Rowland,,,NC,US,2020-06-26,,,,,,,general protesters,against Black Lives Matter protest,0,counter-protest,,,,,1,1,https://www.robesonian.com/news/135870/pembroke-officials-uncp-student-leaders-meet-in-effort-to-move-forward-after-june-26-march,,,"counter-protesters reportedly shouted racial slurs and threw trash at BLM protesters, and some counter-protesters were armed with rifles",,,,,,,,,,,,,,,,,,,
Taunton,on the Green,,MA,US,2020-06-26,hundreds,200,,200,,,Taunton Education Association; Taunton educators,protest against school cuts and layoffs; concern over fall school reopening plan due to COVID-19,0,protest,0,0,0,0,1,1,https://boston.cbslocal.com/2020/06/26/teachers-rally-against-layoffs-school-cuts-in-taunton/,,,,,,,,,,,,,,,,,,,,,,
Upton,,,MA,US,2020-06-26,handful,20,,20,,,general protesters,calls for the Town Meeting to be adjourned and rescheduled outdoors to minimize COVID-19 exposure,0,protest,0,0,0,0,1,1,https://www.metrowestdailynews.com/news/20200626/upton-town-meeting-held-despite-protesters,https://www.telegram.com/news/20200626/upton-town-meeting-held-indoors-despite-pandemic-protesters,,,,,,,,,,,,,,,,,,,,,
White Township,outside White Township Consolidated School at Routes 519 and 46,,NJ,US,2020-06-26,,,,,,,general protesters,opposition to Jaindl building 2.6 million square feet of logistics space on 585 acres the company owns at Foul Rift and South Foul Rift roads,0,rally,0,0,0,0,1,1,https://www.lehighvalleylive.com/warren-county/2020/06/jaindls-26m-square-foot-warehouse-plan-still-unwelcome-residents-plan-to-say-at-rally.html,,,,0,,,,,,,,,,,,,,,,,,
Allendale ,Community Park,Ottawa,MI,US,2020-06-27,,,,,,,general protesters,against removal of Confederate monument,0,counter-protest,0,0,0,0,0,1,https://www.fox17online.com/news/local-news/lakeshore/ottawa/protesters-rally-near-controversial-civil-war-statue-in-allendale,,,,,,,,,,,,,,,,,,,,,,
Bossier City,City Hall,,LA,US,2020-06-27,,,,,,,general protesters,anti-BLM,2,counter-protest,1,0,0,0,1,1,https://www.arklatexhomepage.com/news/local-news/small-protest-to-relocate-confederate-statue-morphs-into-crowd-of-300/,,,,,,,,,,,,,,,,,,,,,,
Boston,near Statehouse,Suffolk,MA,US,2020-06-27,about 50,50,,50,,,Super Happy Fun America,pro-police,0,protest,0,0,0,0,0,1,https://www.nbcboston.com/news/local/pro-police-rally-in-boston-met-by-large-counterprotest/2150300/,https://www.bostonglobe.com/2020/06/27/metro/black-lives-matter-sparks-protests-across-boston-saturday/,,,0,,,,,,,,,,,,,,,,,,
Boulder,Gunbarrel King Soopers,Boulder,CO,US,2020-06-27,about 15,15,,15,,,general protesters,against noise pollution,0,protest,0,0,0,0,1,1,https://www.dailycamera.com/2020/06/27/citizens-for-quiet-skies-rally-saturday-to-put-an-end-to-airplane-noise-pollution-over-boulder-county/,,,,,,,,,,,,,,,,,,,,,,
Branson,Dixie Outfitters,,MO,US,2020-06-27,about 150,150,,150,,,general protesters,against removal of store that sells Confederate memorabilia,0,counter-protest,0,0,0,0,0,1,https://www.ky3.com/content/news/Dixie-Outfitters-protesters-supporters-speak-out-during-demonstration-571524781.html,,,,,,,,,,,,,,,,,,,,,,
Elmhurst,Elmhurst police station,DuPage,IL,US,2020-06-27,,,,,,,general protesters,"Back the Blue, support police",0,rally,,,,,1,1,https://www.dailyherald.com/news/20200707/dicianni-i-wont-apologize-for-standing-up-for-cops,,,,,,,,,,,,,,,,,,,,,,
Grass Valley,in front of the downtown Grass Valley Safeway,,CA,US,2020-06-27,,,,,,,general protesters,"Back the Blue, support police",0,rally,,,,,1,1,https://www.theunion.com/news/back-the-blue-rallies-show-law-enforcement-support/,,,,,,,,,,,,,,,,,,,,,,
Houston,virtual; streamed on Facebook or at www.pridehouston.org,Harris,TX,US,2020-06-27,,,,,,,Pride Houston,pro LGBTQ equality,1,virtual event; rally,,,,,1,1,https://cw39.com/news/local/community/pride-houston-announces-march-at-houston-city-hall-queer-art-exhibit-opens-in-houston-for-pride-month/,https://abc13.com/society/pride-houston-solidarity-march-moved-to-virtual-event/6272136/,,,,,,,,,,,,,,,,,,,,,
Kenosha,Civic Center Park,Kenosha,WI,US,2020-06-27,more than 200,200,,200,,,general protestors,"Back the Blue, support police",2,rally,0,0,0,0,1,1,https://madison.com/news/local/crime-and-courts/rally-to-support-police-in-kenosha-briefly-disrupted-by-protesters/article_68fae849-8a1b-5d8b-9d59-23a059041c1c.html,https://www.channel3000.com/support-police-rally-in-kenosha-briefly-disrupted-by-clashes/,,,,,,,,,,,,,,,,,,,,,
Las Cruces,near police department,,NM,US,2020-06-27,about 50,50,,50,,,general protestors,"Back the Blue, support police",2,rallly,0,0,0,0,1,1,https://kvia.com/news/new-mexico/2020/06/27/back-the-blue-several-dozen-rally-in-support-of-las-cruces-police/,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,Nevada State Business Center,,NV,US,2020-06-27,,,,,,,state workers; AFSCME union,"""demand that Gov. Steve Sisolak include them in negotiations over budget cuts and other changes forced by the pandemic""",0,protest; rally,,,,,1,1,https://www.nevadaappeal.com/news/nevada-state-workers-call-saturday-rallies-over-budget-cuts/,,,,,,,,,,,,,,,,,,,,,,
Landing,Lake Hopatcong,,NJ,US,2020-06-27,,,,,,,general protestors,pro-Trump,2,rally,0,0,0,0,1,1,https://www.thedailyjournal.com/story/news/local/2020/06/25/pro-trump-boat-parade-set-for-saturday-to-be-met-by-opposing-group/112018118/,,,,,,,,,,,,,,,,,,,,,,
Louisville,Thurman Hutchins Park,,KY,US,2020-06-27,about 30,30,,30,,,general protestors,pro-Trump,2,gathering,0,0,0,0,1,1,https://www.courier-journal.com/story/news/local/2020/06/27/louisville-police-protesters-gather-saturday-breonna-taylor-counterprotest/3259717001/,,,,0,,,,,,,,,,,,,,,,,,
Olympia,Heritage Park,,WA,US,2020-06-27,about 500,500,,500,,,The Washington State Three Percenters,for rights of conservatives,2,rally,0,0,0,0,1,1,https://www.tri-cityherald.com/news/state/article243857372.html,https://www.oregonlive.com/nation/2020/06/did-comedian-sacha-baron-cohen-crash-a-conservative-rally.html,https://www.usatoday.com/story/entertainment/celebrities/2020/06/28/sacha-baron-cohen-may-have-crashed-conservative-rally-racist-song/3274969001/,https://www.sfgate.com/bayarea/article/Right-wing-rally-pranked-sacha-baron-cohen-15376859.php,0,,,,,,,,,,,,,,,,,,
Ruch,,,OR,US,2020-06-27,around a dozen,24,,24,,,Applegate Neighborhood Network,opposing Bureau of Land Management's Bear Grub Timber Sale,0,rally,0,0,0,0,1,1,https://kobi5.com/news/local-news/applegate-neighborhood-network-hosts-rally-opposing-bear-grub-timber-sale-131322/,,,,,,,,,,,,,,,,,,,,,,
Shreveport ,Confederate monument at Parish Courthouse,Caddo,LA,US,2020-06-27,,,,,,,general protestors,anti-BLM; against removal of Confederate statue,2,counter-protest,0,0,0,0,1,1,https://www.arklatexhomepage.com/news/local-news/small-protest-to-relocate-confederate-statue-morphs-into-crowd-of-300/,,,,,,,,,,,,,,,,,,,,,,
Sisters,along Cascade Avenue,Deschutes,OR,US,2020-06-27,,,,,,,general protestors,support for first responders,0,rally,0,0,0,0,1,1,https://www.facebook.com/NuggetNews/,,,,0,,,,,,,,,,,,,,,,,,
St Louis,Apotheosis of St. Louis statue near city's Forest Park neighborhood,,MO,US,2020-06-27,,,,,,,general protestors,support of statue,0,protest,0,0,0,0,1,1,https://www.foxnews.com/us/st-louis-protesters-future-statue-to-citys-namesake,,,,0,,,,,,,,,,,,,,,,,,
Sussex,River Styx Bridge in Lake Hopatcong,,NJ,US,2020-06-27,Facebook,773,,2500,,,general protesters,pro-Trump,2,boat parade; counterprotest,,,,,1,1,https://www.northjersey.com/story/news/local/2020/06/25/pro-trump-boat-parade-set-for-saturday-to-be-met-by-opposing-group/112018118/,https://www.facebook.com/events/936191150487354/,https://nypost.com/2020/06/25/pro-trump-anti-trump-supporters-to-face-off-on-new-jersey-lake/,,,,,,,,,,,,,,,,,,,,
Turlock,intersection of Geer Road and Monte Vista Avenue,,CA,US,2020-06-27,Facebook,519,,3300,,,general protesters,Back the Badge,0,rally,,,,,1,1,https://www.modbee.com/news/local/turlock/article243716692.html,,,,,,,,,,,,,,,,,,,,,,
Wasilla,Newcomb Park,,AK,US,2020-06-27,dozens,24,,24,,,Back the Blue,in support of law enforcement,0,rally,0,0,0,0,1,1,https://www.alaskasnewssource.com/content/news/Back-the-Blue-rally-shows-support-for-local-law-enforcement-571525521.html,,,,,,,,,,,,,,,,,,,,,,
West Islip,Great South Bay by the Captree Bridge,Suffolk,NY,US,2020-06-27,800 to 1000,800,,1000,,,general protestors,pro-Trump,2,boat rally,0,0,0,0,1,1,https://longisland.news12.com/hundreds-of-boaters-hold-protrump-rally-on-the-great-south-bay-42300470,,,,,,,,,,,,,,,,,,,,,,
Woodstock,"Woodstock Harley Davidson, 2235 S. Eastwood Drive; downtown Crystal Lake, McHenry, and Woodstock; police departments in Crystal Lake, McHenry, and Woodstock",,IL,US,2020-06-27,,,,,,,counter protestors,"""Back the Blue""",2,protest,,,,,1,1,https://www.nwherald.com/2020/06/23/mchenry-county-back-the-blue-ride-planned-for-saturday/ac3nohc/,,,,,,,,,,,,,,,,,,,,,,
Anaheim,Disneyland and Disney California Adventure theme parks,,CA,US,2020-06-28,about 100 cars,100,,100,,,The Coalition of Resort Labor Unions and Unite Here Local 11; Disneyland workers,Protest proposed July 17 reopening of Disney's parks in Anaheim; Concern for employee safety,0,Car caravan,0,0,0,0,1,1,https://losangeles.cbslocal.com/2020/06/27/disneyland-workers-protest-demand-changes-for-reopening-plan/,https://www.sbsun.com/2020/06/24/disneyland-cast-members-plan-protest-against-reopening-theme-park-on-july-17/,https://www.dailynews.com/2020/06/24/disneyland-cast-members-plan-protest-against-reopening-theme-park-on-july-17/,https://www.themeparktribune.com/disneyland-union-plans-saturday-protest-against-covid-19-reopening-plan/,,,,,,,,,,,,,,,,,,,
